area	location	timepoint	date	measurer	waves	sun	rain	temp	st.obs	end.obs	visibility	replicate	m	f1	f2	f3	fu	u
Kristineberg	Pittleholmen	2	06.06.2022	IM	0	Y	N	14.4	09:27	09:44	good	2	21	17	33	56	0	0
Kristineberg	Blabergsholmen	2	07.06.2022	IM	0	Y	N	15	08:19	08:30	good	1	12	15	30	33	0	0
Kristineberg	Blabergsholmen	2	07.06.2022	IM	0	Y	N	15	08:31	08:42	good	2	13	9	21	37	0	0
Kristineberg	Katten	2	09.06.2022	IM	0	Y	N	15.1	09:01	09:12	bad	1	14	19	41	38	0	0
Kristineberg	Katten	2	09.06.2022	IM	0	Y	N	15.1	09:15	09:26	bad	2	14	31	49	42	0	0
Kristineberg	Rodberget	2	11.06.2022	IM	10	Y	N	14.8	08:45	09:04	bad	1	20	15	16	27	0	0
Kristineberg	Rodberget	2	11.06.2022	IM	10	Y	N	14.8	09:04	09:17	bad	2	13	12	19	31	0	0
Kristineberg	Tjallsoholmen	3	13.07.2022	IM	0	Y	N	17.2	08:18	08:30	good	1	10	55	45	25	0	0
Kristineberg	Tjallsoholmen	3	13.07.2022	IM	0	Y	N	17.2	08:18	08:30	good	2	13	49	31	25	0	0
Kristineberg	Pittleholmen	3	12.07.2022	IM	0	Y	N	18.6	09:23	09:38	medium	1	3	13	9	8	0	0
Kristineberg	Pittleholmen	3	12.07.2022	IM	0	Y	N	18.6	09:39	09:51	medium	2	4	16	8	13	0	0
Kristineberg	Blabergsholmen	3	10.07.2022	IM	0	Y	N	17.5	10:03	10:14	medium	1	3	11	15	21	0	0
Kristineberg	Blabergsholmen	3	10.07.2022	IM	0	Y	N	17.5	10:15	10:23	medium	2	2	11	10	14	0	0
Kristineberg	Katten	3	16.07.2022	IM	0	Y	N	17.3	08:48	08:59	good	1	7	54	30	12	0	0
Kristineberg	Katten	3	16.07.2022	IM	0	Y	N	17.3	09:00	09:10	good	2	6	57	18	19	0	0
Kristineberg	Rodberget	3	14.07.2022	IM	20	N	N	17.1	11:26	11:35	low	1	1	6	4	7	0	0
Kristineberg	Rodberget	3	14.07.2022	IM	20	N	N	17.1	11:36	11:45	low	2	3	5	4	9	0	0
Ringstad	Varholmen	1	28.05.2022	TA	0		N	9.1	17:51	18:11	good	1	54	34	46	26	0	0
Ringstad	Varholmen	1	28.05.2022	TA	0		N	9.1	18:13	18:30	good	2	64	29	32	23	0	0
