area	location	timepoint	date	measurer	waves	sun	rain	temp	st.obs	end.obs	visibility	type	MF_fin	MF_approach	MF_hook	MF_glow	MF_HG	MF_finNR	MF_lead	MF_Lnest	MF_foll	MF_nest	MF_FN	MF_leadNR	M&F_fin	M&F_hook	M&F_glow	M&F_HG	M&F_finNR	M&F_lead	M&F_Lhook	M&F_follow	M&F_nest	M&F_leadNR	MM_fin	MM_fin	MM_retreat	MM_NR	MM_chase	MM_chase	MM_Cretreat	MM_CNR	FM_hook	FM_hookA	FM_hookAF	FM_hookAFL	FM_hookAFLN	FM_hookNR	FM_glow	FM_glowA	FM_glowAF	FM_glowAFL	FM_glowAFLN	FM_glowNR	FM_HG	FM_HGA	FM_HGAF	FM_HGAFL	FM_HGAFLN	FM_HGNR	FF_hook	FF_glow	FF_HG	FF_hook	FF_glow	FF_HG	FF_NR
Hitra	Teistholmen 10	1	18.05.2022	CA		N	N	7.7	09:57	10:08	good	transect	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1
Hitra	Vegshiftholmane 6	1	19.05.2022	CA	0	N	N	8.3	16:05	16:21	good	transect	1	0	0	0	0	1	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Vegshiftholmane 6	1	19.05.2022	CA	0	N	N	8.3	16:57	17:10	good	transect	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1
Hitra	Teistholmen 13	1	20.05.2022	CA	0	Y	N	9.1	09:40	09:52	good	transect	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Hitra	Teistholmen 13	1	20.05.2022	CA	0	Y	N	9.1	10:15	10:26	good	transect	4	0	0	0	0	4	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Austevoll	Ternholmen	3	19.07.2022	CA	0	N	N	15.3	09:31	09:45	medium	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	2	0
Austevoll	Ternholmen	3	19.07.2022	CA	0	N	N	15.3	10:11	10:22	medium	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
Austevoll	Lamoya	3	20.07.2022	CA	0	Y	N		10:00	10:07	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austevoll	Lamoya	3	20.07.2022	CA	0	Y	N		10:30	10:38	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austevoll	Lamoya	3	20.07.2022	CA	0	Y	N		10:50	11:10	good	nest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austevoll	Krabbavika	3	21.07.2022	CA		N	N	15.9	08:31	08:41	medium	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	2	2
Austevoll	Krabbavika	3	21.07.2022	CA		N	N	15.9	09:05	09:14	medium	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	3	0	0	1	3
Austevoll	Krabbavika	3	21.07.2022	CA		N	N	15.9	12:17	12:31	medium	nest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austevoll	Tipatiskaeret	3	23.07.2022	CA	0	N	N	16.3	10:46	10:57	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4
Austevoll	Tipatiskaeret	3	23.07.2022	CA	0	N	N	16.3	11:24	11:32	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3
Austevoll	Tipatiskaeret	3	24.07.2022	CA		N	Y	15.1	11:10	11:17		nest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0
Austevoll	Saltkjaerholmane	3	25.07.2022	CA	0	N	N	14.2	13:51	14:01	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Austevoll	Saltkjaerholmane	3	25.07.2022	CA	0	N	N	14.2	14:28	14:37	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Teistholmen 13	3	05.07.2022	CA	60	N	N	14.3	09:18	09:28	bad	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Teistholmen 13	3	05.07.2022	CA	60	N	N	14.3	10:01	10:08	bad	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Teistholmen 10	3	06.07.2022	CA	80	N	N	13.4	09:15	09:27	medium	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Teistholmen 10	3	06.07.2022	CA	80	N	N	13.4	09:58	10:05	medium	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Teistholmen 10	3	07.07.2022	CA	80	N	N	13.4	09:40	09:47	medium	nest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Feoya f4-5	3	10.07.2022	CA	20	N	N	12.8	12:32	12:41	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Feoya f4-5	3	10.07.2022	CA	20	N	N	12.8	13:10	13:18	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Steinrenningen s-8	3	11.07.2022	CA	10	N	N	14.1	11:36	11:49	bad	transect	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Steinrenningen s-8	3	11.07.2022	CA	20	N	N	14.1	12:25	12:32	bad	transect	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Feoya f4-5	3	10.07.2022	CA	20	N	N	12.8	13:27	13:36	good	nest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Steinrenningen s-8	3	11.07.2022	CA	20	N	N	14.1	16:09	16:17	bad	nest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Vegshiftholmane 6	3	12.07.2022	CA	0	N	Y	14.3	13:07	13:17	bad	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Vegshiftholmane 6	3	12.07.2022	CA	0	N	Y	14.3	13:52	14:03	bad	transect	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austevoll	Saltkjaerholmane	2	17.06.2022	CA	0	N	N	12.4	17:39	17:52	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	1	0	0	0	0	1	0	2	0	0	2	0	0
Austevoll	Saltkjaerholmane	2	17.06.2022	CA	0	N	N	12.4	18:27	18:38	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	5	0	0	0	0	5	1	1	1	0	0	0	3
Austevoll	Ternholmen	2	18.06.2022	CA	0	Y	N	13.3	08:26	08:44	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	1	2	7	2	0	5	0	6
Austevoll	Ternholmen	2	18.06.2022	CA	0	Y	N	13.3	09:07	09:20	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	2	5	0	0	0	0	5	0	3	1	0	4	0	0
Austevoll	Krabbavika	2	19.06.2022	CA		N	Y	12.9	08:44	08:51	bad	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	2	0	1	0	0	0	0	1
Austevoll	Krabbavika	2	19.06.2022	CA		N	Y	12.9	09:07	09:15	bad	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0
Austevoll	Krabbavika	2	19.06.2022	CA		N	Y	12.9	09:17	09:25	bad	nest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
